no,name_of_member,state,party,term_start,term_end,vacation_date_reason,vacation_date,vacation_reason,party_normalized,intitial_check,check_Saloni,check_Taha
7,Chakradhar Shri A.,Andhra Pradesh,O,3/4/1958,2/4/1964,Retirement,2/4/1964,Retirement,,S,,
87,Guruswami Shri S.,Madras,O,3/4/1952,2/4/1954,Retirement,2/4/1954,Retirement,,S,,
23,Kamta Singh Shri,Bihar,O,3/4/1958,2/4/1964,Retirement,2/4/1964,Retirement,,S,,Swatantra Party
113,Kishen Chand Shri,Others,O,3/4/1952,2/4/1958,Retirement,2/4/1958,Retirement,,S,,P.S.P.
147,Kulkarni Shri Gajanan Ramrao,Bombay,O,3/4/1956,2/4/1962,Retirement,2/4/1962,Retirement,,S,,Congress
79,Manjuran Shri Mathai,Travancore Cochin,O,3/4/1952,2/4/1954,Retirement,2/4/1954,Retirement,,S,,Socialist Party
81,Mann Lt. Col. Sardar Joginder Singh,Patiala and East Punjab States Union,O,3/4/1952,2/4/1956,Retirement,2/4/1956,Retirement,,S,,
148,Misra Shri Chandragopal Gajadharprasad.,Madhya Pradesh,O,3/4/1952,2/4/1954,Retirement,2/4/1954,Retirement,,S,,Kisan Majdoor
182,Mohanty Shri Surendra,Odisha,O,3/4/1952,2/4/1958,23/03/57,23/03/57,,,S,,Congress (I)
198,Mookerjee Dr. Radha Kumud,Nominated,O,3/4/1952,2/4/1958,Retirement,2/4/1958,Retirement,,S,,Nominated
222,Munshi Shri Arman Ali,Manipur and Tripura,O,3/4/1952,2/4/1954,Retirement,2/4/1954,Retirement,,S,,Ganatantrik Sangh
43,Narendra Deva Shri,Uttar Pradesh,O,3/4/1952,2/4/1954,Retirement,2/4/1954,Retirement,,S,,P.S.P.
43,Narendra Deva Shri,Uttar Pradesh,O,3/4/1954,2/4/1960,20/02/1956 Death,20/02/56,Death,,S,,P.S.P.
64,Niranjan Singh Shri,Madhya Pradesh,O,3/4/1958,2/4/1964,Retirement,2/4/1964,Retirement,,S,,Congress
9,Paliwal Shri Tika Ram,Rajasthan,O,3/4/1958,2/4/1964,01/03/1962 Elected to Lok Sabha,1/3/1962,ElectedtoLokSabha,,S,,Congress
38,Parameswaran Shri B.,Madras,O,3/4/1958,2/4/1964,12/03/1962 Resignation,12/3/1962,Resignation,,S,,Congress
53,Parvathi Krishnan Smt.,Tamil Nadu,O,3/4/1954,2/4/1960,12/03/1957 Elected to Lok Sabha,12/3/1957,ElectedtoLokSabha,,S,,Communist Party
62,Patel Shri Dahyabhai V.,Bombay,O,3/4/1958,2/4/1964,Retirement,2/4/1964,Retirement,,S,,Swatantra Party
63,Patel Shri Harihar,Odisha,O,3/4/1958,2/4/1964,28/06/1961 Resignation,28/06/61,Resignation,,S,,Ganatantra Parishad
121,Raut Shri Rajaram Balkrishna,Bombay,O,3/4/1952,2/4/1958,15/03/1957 Elected to Lok Sabha,15/03/57,ElectedtoLokSabha,,S,,
41,Sandil Shri Ghasiram,Odisha,O,5/5/1959,2/4/1960,Retirement,2/4/1960,Retirement,,S,,
263,Sinha Shri Ganga Sharan,Bihar,O,3/4/1956,2/4/1962,Retirement,2/4/1962,Retirement,,S,,Nominated
109,Duggal Shri Harcharan Singh,Punjab,O,28/03/69,2/4/1970,Retirement,2/4/1970,Retirement,,S,,
4,Hakim Ali Khawja,Jammu & Kashmir,O,22/08/61,2/4/1962,Retirement,2/4/1962,Retirement,,S,,
2,Jadhav Shri D.K.,Madhya Pradesh,O,25/03/69,2/4/1970,Retirement,2/4/1970,Retirement,,S,,
5,Kaimal Shri Aravindakshan,Kerala,O,17/04/67,2/4/1968,Retirement,2/4/1968,Retirement,,S,,
29,Kapoor Shri Giriraj Kishore,Madhya Pradesh,O,3/4/1964,29/08/85,29/08/1965 Death,29/08/65,Death,,S,,Jan Sangh
94,Khandekar Shri Rameshehandra Shankarrao,Madhya Pradesh,O,3/4/1962,2/4/1968,Retirement,2/4/1968,Retirement,,S,,P.S.P.
158,Kureel Shri Piare Lall alias Piare Lall Talib Unnavi,Uttar Pradesh,O,3/4/1960,2/4/1966,Retirement,2/4/1966,Retirement,,S,,Congress(I)
14,Lal Prof. Mukut Behari,Uttar Pradesh,O,3/4/1960,2/4/1966,Retirement,2/4/1966,Retirement,,S,,P.S.P.
32,Limaye Shri Shripad Krishna,Maharashtra,O,3/4/1960,2/4/1966,Retirement,2/4/1966,Retirement,,S,,Lal Nishan Organisation
150,Misra Shri Lokanath,Odisha,O,3/4/1960,2/4/1966,Retirement,2/4/1966,Retirement,,S,,Janta Party
150,Misra Shri Lokanath,Odisha,O,3/4/1966,2/4/1972,Retirement,2/4/1972,Retirement,,S,,Janta Party
191,Mohta Shri Mahendra Kumar,Rajasthan,O,3/4/1968,2/4/1974,Retirement,2/4/1974,Retirement,,S,,Swatantra Party
197,Mookerjee Shri Debabrata,West Bengal,O,4/11/1965,2/4/1968,Retirement,2/4/1968,Retirement,,S,,
224,Murahari Shri Godey,Uttar Pradesh,O,3/4/1962,2/4/1968,Retirement,2/4/1968,Retirement,,S,,Independent
224,Murahari Shri Godey,Uttar Pradesh,O,3/4/1968,2/4/1974,Retirement,2/4/1974,Retirement,,S,,Independent
2,Nafisul Hasan Shri,Uttar Pradesh,O,3/4/1960,2/4/1966,Retirement,2/4/1966,Retirement,,S,,Congress
9,Naicker Shri M.A. Manickavelu,Madras,O,3/4/1962,2/4/1968,15/04/1964 Resignation,15/04/64,Resignation,,T,,Congress
11,Naidu Ms. M.L. Mary,Andhra Pradesh,O,3/4/1964,2/4/1970,Retirement,2/4/1970,Retirement,,T,,Congress
36,Narayan Shri M.D.,Mysore,O,3/4/1966,2/4/1972,Retirement,2/4/1972,Retirement,,T,,Independent
41,Narayanappa Shri Sanda,Andhra Pradesh,O,3/4/1968,2/4/1974,Retirement,2/4/1974,Retirement,,T,,Congress (O)
58,Nehru Smt. Uma,Uttar Pradesh,O,3/4/1962,2/4/1968,28/08/1963 Death,28/08/63,Death,,T,,Congress
64,Niranjan Singh Shri,Madhya Pradesh,O,3/4/1964,2/4/1970,17/10/1968 Death,17/10/68,Death,,T,,Congress
2,Oberoi Shri Mohan Singh,Uttar Pradesh,O,3/4/1962,2/4/1968,04/03/1968 Elected to Lok Sabha,4/3/1968,ElectedtoLokSabha,,T,,B .K .D .
3,Pahadia Shri Jagannath Prasad,Rajasthan,O,2/3/1965,21/03/66,21/03/1966 Resignation,21/03/66,Resignation,,T,,Congress
3,Pahadia Shri Jagannath Prasad,Rajasthan,O,22/03/66,23/02/67,23/02/1967 Elected to Lok Sabha,23/02/67,ElectedtoLokSabha,,T,,Congress
51,Parthasarathy Prof.(Smt) G.,Madras,O,3/4/1960,2/4/1966,Retirement,2/4/1966,Retirement,,T,,Congress
52,Parthasarathy Shri R.T.,Madras,O,3/4/1966,2/4/1972,Retirement,2/4/1972,Retirement,,T,,Congress (O)
62,Patel Shri Dahyabhai V.,Bombay,O,3/4/1964,2/4/1970,Retirement,2/4/1970,Retirement,,T,,Swatantra Party
67,Patel Ms. Maniben Vallabhbhai,Gujarat,O,3/4/1964,2/4/1970,Retirement,2/4/1970,Retirement,,T,,Congress
72,Patel Shri Sundarmani,Odisha,O,3/4/1962,2/4/1968,Retirement,2/4/1968,Retirement,,T,,Swatantra Party
72,Patel Shri Sundarmani,Odisha,O,3/4/1968,2/4/1974,Retirement,2/4/1974,Retirement,,T,,Swatantra Party
93,Patil Shri Udhavrao Sahebrao,Maharashtra,O,3/4/1964,2/4/1970,02/03/1967 Resignation,2/3/1967,Resignation,,T,,Peasants and Workers Party
95,Patil Shri Vinayakrao Pandurang,Bombay,O,3/4/1960,2/4/1966,01/12/1962 Resignation,1/12/1962,Resignation,,T,,not available
146,Prithwi Nath Shri,Uttar Pradesh,O,3/4/1968,2/4/1974,Retirement,2/4/1974,Retirement,,T,,B.K.D.
64,Ramaswamy Shri V. V.,Madras,O,20/03/67,2/4/1968,Retirement,2/4/1968,Retirement,,T,,Congress
148,Reddy Shri J. C. Nagi,Andhra Pradesh,O,3/4/1960,16/09/64,Retirement,16/09/64,Retirement,,T,,Congress (O)
148,Reddy Shri J. C. Nagi,Andhra Pradesh,O,3/4/1966,2/4/1972,Retirement,2/4/1972,Retirement,,T,,Congress (O)
152,Reddy Dr. M. Chenna,Andhra Pradesh,O,3/4/1968,26/11/68,Retirement,26/11/68,Retirement,,T,,
156,Reddy Shri Mulka Govinda,Karnataka,O,3/4/1964,2/4/1970,Retirement,2/4/1970,Retirement,,T,,Congress
120,Shanti Devi Smt.,Uttar Pradesh,O,27/04/61,2/4/1962,Retirement,2/4/1962,Retirement,,T,,
263,Sinha Shri Ganga Sharan,Bihar,O,3/4/1962,2/4/1968,Retirement,2/4/1968,Retirement,,T,,Nominated
42,Verma Shri Kesho Prasad,Madhya Pradesh,O,3/4/1960,2/4/1966,22/12/1960 Disqualification,22/12/60,Disqualification,,T,,
79,Khan Shri Ghayoor Ali,Uttar Pradesh,O,3/4/1976,2/4/1982,08/01/1980 Elected to Lok Sabha,8/1/1980,ElectedtoLokSabha,,T,,Lok Dal
37,Lotha Shri Khyomo,Nagaland,O,4/3/1974,4/2/1980,Retirement,4/2/1980,Retirement,,T,,Congress (I)
62,Patel Shri Dahyabhai V.,Bombay,O,3/4/1970,2/4/1976,11/08/1973 Death,11/8/1973,Death,,T,,Swatantra Party
5,Saha Shri Surajmal,Odisha,O,3/4/1970,2/4/1976,13/09/1971 Death,13/09/71,Death,,T,,Jana Congress
93,Dinesh Shri Singh,Uttar Pradesh,O,30/06/80,2/4/1982,Retirement,2/4/1982,Retirement,,T,,Congress (I)
22,Lather Shri Mohinder Singh,Haryana,O,3/4/1988,2/4/1994,Retirement,2/4/1994,Retirement,JANATA DAL,T,,
97,Matto Shri Ghulam Rasool,Jammu & Kashmir,O,3/4/1982,2/4/1988,Retirement,2/4/1988,Retirement,JAMMU & KASHMIR NATIONAL CONFERENCE,T,,
97,Matto Shri Ghulam Rasool,Jammu & Kashmir,O,3/4/1988,2/4/1994,Retirement,2/4/1994,Retirement,JAMMU & KASHMIR NATIONAL CONFERENCE,T,,
156,Mistry Smt. Roda,Andhra Pradesh,O,3/4/1980,2/4/1986,Retirement,2/4/1986,Retirement,,T,,National Democratic Party
122,Ravi Shankar Pandit,Nominated,O,12/5/1986,11/5/1992,Retirement,11/5/1992,Retirement,,T,,Nominated
1,Nadukkara Shri Joy,Kerala,O,27/10/95,21/04/97,Retirement,21/04/97,Retirement,,T,,Kerala Congress (M)
